Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,146.754464497,31.0208083728,22.7332131524,0.0,34.4311606118,33.1021868926,182.908673091,41.0886345005,3.33212,138.487918591
 01/01  02:00:00,156.134160538,31.0208083728,32.0799664535,0.0,34.4311606118,33.1021868926,180.116353962,74.4969255911,3.33212,102.28730837
 01/01  03:00:00,143.481485349,31.0208083728,36.9506911165,0.0,19.466279405,30.610668775,165.648643381,54.9265843958,3.33212,107.389938985
 01/01  04:00:00,146.682549571,31.0208083728,40.1589365864,0.0,19.466279405,30.610668775,159.4260259,48.0769252125,3.33212,108.016980687
 01/01  05:00:00,157.872329235,31.0208083728,44.757590927,0.0,19.466279405,30.610668775,183.913913254,42.3131385856,3.33212,138.268654669
 01/01  06:00:00,184.535292134,31.8488337858,57.5265050416,0.0,19.466279405,30.610668775,209.916333277,30.2660402505,8.3303,171.319993026
 01/01  07:00:00,314.970473425,35.1609354377,109.397450796,0.0,42.6918050922,54.3732441037,288.076273892,23.4189630131,16.6606,247.996710879
 01/01  08:00:00,346.148664765,36.1896946574,96.9663454023,0.0,49.3960418185,88.5934452969,467.238038486,28.7983069137,24.9909,413.448831572
 01/01  09:00:00,396.161220812,36.0093817392,123.463269362,0.0,57.6566862989,112.030105488,644.414582758,21.5876050525,33.3212,589.505777706
 01/01  10:00:00,350.716702959,36.5752868281,133.404189315,0.0,50.9524495726,81.1684271793,499.031244209,13.0305145696,66.8089,419.19182964
 01/01  11:00:00,285.837634775,36.6667568449,113.162494322,0.0,42.6918050922,68.9656133826,417.853654312,12.8814340312,83.4695,321.502720281
 01/01  12:00:00,266.056928732,36.7079957433,97.2464438452,0.0,38.286128036,68.9656133826,353.28749433,14.6391261971,83.4695,255.178868133
 01/01  13:00:00,257.363013608,36.7443461623,89.3980551815,0.0,38.286128036,68.9656133826,286.459770099,15.7576720932,83.4695,187.232598006
 01/01  14:00:00,230.789219966,36.7742950746,81.7626786165,0.0,31.5818913096,56.727595265,285.612367013,23.2274100701,75.1392,187.245756943
 01/01  15:00:00,248.192798062,36.8006191803,98.9082170926,0.0,31.5818913096,56.727595265,269.636726907,23.1212099646,66.8089,179.706616942
 01/01  16:00:00,272.076541847,36.8261573971,122.636115152,0.0,31.5818913096,56.727595265,277.571374528,20.5971929937,75.1392,181.834981534
 01/01  17:00:00,311.673447659,36.5238531441,133.156739001,0.0,31.5818913096,61.661095265,251.087198284,16.0651960226,91.7998,143.222202261
 01/01  18:00:00,363.946496003,35.9889608506,141.351348898,0.0,31.5818913096,70.9729253606,245.455519112,16.7320539999,49.9818,178.741665112
 01/01  19:00:00,424.106040569,35.9908746255,139.541586264,0.0,80.3315023541,83.7685254822,279.15664348,14.7637742966,49.9818,214.411069184
 01/01  20:00:00,425.701685168,35.9889608506,136.853589113,0.0,102.000620287,77.6748002752,325.385336546,11.3147079285,33.3212,280.749428617
 01/01  21:00:00,445.242967377,35.9889608506,135.831207891,0.0,108.704857014,91.4735406516,316.868865589,10.2096525792,33.3212,273.33801301
 01/01  22:00:00,417.826363926,35.9889608506,136.493338004,0.0,95.2963835608,89.1510273009,317.916364644,12.4580849235,24.9909,280.46737972
 01/01  23:00:00,365.070401993,35.9889608506,136.843229217,0.0,80.3315023541,63.3799339444,441.996327972,16.2974273636,16.6606,409.038300609
 01/01  24:00:00,302.639078586,35.9889608506,138.905969142,0.0,42.6918050922,48.4199368926,272.595090282,20.5045633217,8.3303,243.76022696
 01/02  01:00:00,145.401303499,31.0208083728,32.7485663293,0.0,25.5240853573,30.610668775,141.633991648,0.0,3.33212,138.301871648
 01/02  02:00:00,156.749139879,31.0208083728,51.4467457211,0.0,19.418418834,29.3649097162,104.862015296,0.0,3.33212,101.529895296
 01/02  03:00:00,174.265756276,32.6768591988,73.3361530583,0.0,12.7620426787,28.1191506574,111.278807566,0.0556137015515,3.33212,107.891073864
 01/02  04:00:00,137.651647888,31.8488337858,38.5932355025,0.0,12.7620426787,28.1191506574,104.878219353,0.0,3.33212,101.546099353
 01/02  05:00:00,182.511394151,33.5048846117,73.205678681,0.0,12.7620426787,28.1191506574,141.725259471,0.0780497110379,3.33212,138.31508976
 01/02  06:00:00,200.865727532,33.0908719052,65.050512717,0.0,25.5240853573,30.610668775,253.120278262,0.42006702547,8.3303,244.369911236
 01/02  07:00:00,341.31263072,34.8297252725,103.815936329,0.0,51.0481707146,78.1489452969,430.844171649,0.249711765271,16.6606,413.933859884
 01/02  08:00:00,423.685332242,36.0120313813,136.310352989,0.0,64.3609230253,109.708623606,588.079789428,13.8632699633,24.9909,549.225619465
 01/02  09:00:00,374.834149166,36.0039608828,138.630849265,0.0,51.0481707146,80.7689615957,461.538071253,8.18359083787,33.3212,420.033280415
 01/02  10:00:00,347.378822102,36.5612732721,138.778578062,0.0,51.0481707146,71.0224615957,392.214266982,4.37160206008,66.8089,321.033764922
 01/02  11:00:00,299.372896141,36.6497575406,139.344676063,0.0,32.1804615127,65.7244621605,347.79988996,9.91806778135,83.4695,254.412322178
 01/02  12:00:00,300.506487587,36.7023982918,139.669497564,0.0,32.1804615127,65.7244621605,281.765893255,10.6680086966,83.4695,187.628384558
 01/02  13:00:00,298.933347796,36.7548453473,138.444661646,0.0,32.1804615127,65.7244621605,279.965001611,9.18118149949,83.4695,187.314320111
 01/02  14:00:00,287.821005064,36.7940298916,136.82226625,0.0,32.1804615127,55.9779621605,262.818688456,7.60803738506,75.1392,180.071451071
 01/02  15:00:00,286.807425139,36.8732578644,135.691376298,0.0,32.1804615127,55.9779621605,260.423945888,6.90723702596,66.8089,186.707808862
 01/02  16:00:00,286.816036363,36.867132806,135.702327363,0.0,32.1804615127,55.9779621605,262.080051597,7.16419058106,75.1392,179.776661015
 01/02  17:00:00,316.756623115,36.5753011494,136.884103606,0.0,32.1804615127,60.9114621605,241.666811853,4.56907212565,91.7998,145.297939727
 01/02  18:00:00,369.626727233,36.0561477185,138.873153911,0.0,32.1804615127,77.5397301883,267.871886241,10.581818456,49.9818,207.308267785
 01/02  19:00:00,422.742041072,36.097504492,138.049621724,0.0,77.122965704,86.2600435998,447.43891719,12.1132801921,49.9818,385.343836998
 01/02  20:00:00,430.211956443,36.0331428089,137.877749247,0.0,102.647051061,80.1663183927,324.062837093,9.34539913777,33.3212,281.396237955
 01/02  21:00:00,453.920940513,36.0237443209,136.01822104,0.0,115.40909374,92.7192997104,322.764899736,8.99624279499,33.3212,280.447456941
 01/02  22:00:00,429.15389852,36.0743759706,134.81695528,0.0,102.647051061,94.1340635361,449.649511846,9.83334918465,24.9909,414.825262661
 01/02  23:00:00,365.21100054,36.164377776,137.558689676,0.0,77.122965704,65.871452062,347.690512854,14.1816374914,16.6606,316.848275363
 01/02  24:00:00,298.424422535,36.1306229239,138.836424503,0.0,38.286128036,48.4199368926,199.485597089,20.0360744009,8.3303,171.119222688
 01/03  01:00:00,200.620657567,33.5048846117,82.60236581,0.0,25.5240853573,30.610668775,141.702789115,0.0399632489379,3.33212,138.330705866
 01/03  02:00:00,147.128612435,31.0208083728,41.7800047698,0.0,19.418418834,29.3649097162,111.236876334,0.0,3.33212,107.904756334
 01/03  03:00:00,193.98591805,33.5048846117,91.1494722304,0.0,12.7620426787,28.1191506574,104.987856876,0.0970611866482,3.33212,101.558675689
 01/03  04:00:00,164.390789363,32.6768591988,63.4037244223,0.0,12.7620426787,28.1191506574,111.351514226,0.106208563055,3.33212,107.913185663
 01/03  05:00:00,180.68828765,33.0908719052,71.6037032987,0.0,12.7620426787,28.1191506574,142.222659499,0.542633912046,3.33212,138.347905587
 01/03  06:00:00,218.930179987,33.5048846117,81.1532928535,0.0,25.5240853573,30.610668775,248.424101965,0.154274880519,8.3303,239.939527085
 01/03  07:00:00,336.971117437,34.3329100247,99.5674527133,0.0,51.0481707146,78.1489452969,432.870464165,0.187453967541,16.6606,416.022410197
 01/03  08:00:00,420.038541376,36.1521782454,130.503360949,0.0,64.3609230253,109.708623606,592.074177369,14.6423049344,24.9909,552.440972435
 01/03  09:00:00,371.077030247,36.0230389802,132.928422958,0.0,51.0481707146,80.7689615957,465.280677192,8.94376382348,33.3212,423.015713369
 01/03  10:00:00,342.461825773,36.5685093846,132.706593714,0.0,51.0481707146,71.0224615957,391.57304287,4.41225304127,66.8089,320.351889829
 01/03  11:00:00,294.155073761,36.6563060177,132.906578503,0.0,32.1804615127,65.7244621605,347.304440862,8.26517882257,83.4695,255.569762039
 01/03  12:00:00,296.106718572,36.7125144779,134.021513303,0.0,32.1804615127,65.7244621605,281.65488503,10.5103331625,83.4695,187.675051868
 01/03  13:00:00,295.18274302,36.7703581571,133.618507125,0.0,32.1804615127,65.7244621605,274.885662949,10.2445520683,83.4695,181.171610881
 01/03  14:00:00,285.605479091,36.7842172136,134.011737597,0.0,32.1804615127,55.9779621605,272.712495168,11.2590907706,75.1392,186.314204397
 01/03  15:00:00,286.541253109,36.8135025614,135.607583174,0.0,32.1804615127,55.9779621605,264.130445579,12.199925632,66.8089,185.121619947
 01/03  16:00:00,286.470398852,36.841208456,135.838092221,0.0,32.1804615127,55.9779621605,269.371093589,12.7300653441,75.1392,181.501828245
 01/03  17:00:00,315.128289724,36.5543157137,135.362366336,0.0,32.1804615127,60.9114621605,242.245071374,7.6047522959,91.7998,142.840519078
 01/03  18:00:00,366.824102969,36.0490731838,135.696302569,0.0,32.1804615127,77.5397301883,274.199263965,14.0641906422,49.9818,210.153273322
 01/03  19:00:00,419.022955194,36.0951284572,133.935626634,0.0,77.122965704,86.2600435998,450.955887287,15.1827689605,49.9818,385.791318326
 01/03  20:00:00,426.00610567,36.0339273955,133.722355342,0.0,102.647051061,80.1663183927,326.423742302,11.505457726,33.3212,281.597084576
 01/03  21:00:00,450.825561219,36.0295517052,133.009737564,0.0,115.40909374,92.7192997104,324.934723149,10.954100609,33.3212,280.659422539
 01/03  22:00:00,426.015741262,36.0957645687,131.600997828,0.0,102.647051061,94.1340635361,452.220856949,11.8640110267,24.9909,415.365945922
 01/03  23:00:00,361.283578266,36.1873917525,133.064279696,0.0,77.122965704,65.871452062,350.565618356,16.7963504151,16.6606,317.108667941
 01/03  24:00:00,295.528754855,36.1536827223,135.535304851,0.0,38.286128036,48.4199368926,203.163573589,23.6457583277,8.3303,171.187515261
 01/04  01:00:00,201.43839863,33.5048846117,83.4118309833,0.0,25.5240853573,30.610668775,145.544866916,0.0489547690381,3.33212,142.163792147
 01/04  02:00:00,146.046060258,31.0208083728,40.7052358831,0.0,19.418418834,29.3649097162,107.621671384,0.0,3.33212,104.289551384
 01/04  03:00:00,187.841318712,33.5048846117,85.0346452203,0.0,12.7620426787,28.1191506574,110.774799637,0.120408809016,3.33212,107.322270828
 01/04  04:00:00,184.309969989,33.5048846117,81.5443229181,0.0,12.7620426787,28.1191506574,105.668155156,0.127034649186,3.33212,102.209000507
 01/04  05:00:00,179.109850462,33.0908719052,70.7569815848,0.0,12.7620426787,28.1191506574,142.365412703,0.635298161709,3.33212,138.397994541
 01/04  06:00:00,203.982093817,32.9528676697,68.2934464574,0.0,25.5240853573,30.610668775,253.185576232,0.238732015989,8.3303,244.616544216
 01/04  07:00:00,337.475681866,34.4985151073,100.614233051,0.0,51.0481707146,78.1489452969,431.945804871,0.289967187869,16.6606,414.995237683
 01/04  08:00:00,421.61384254,36.0234633654,134.955426258,0.0,64.3609230253,109.708623606,632.207196512,55.6450694979,24.9909,551.571227014
 01/04  09:00:00,328.458805951,35.9889608506,94.2157422677,0.0,51.0481707146,80.7689615957,721.670236815,263.402997957,33.3212,424.946038858
 01/04  10:00:00,283.459762867,36.5697922636,75.9080760403,0.0,51.0481707146,71.0224615957,811.048990057,420.371017667,66.8089,323.86907239
 01/04  11:00:00,208.324858888,36.6294723369,49.9144642155,0.0,32.1804615127,65.7244621605,618.076028858,285.059691688,83.4695,249.54683717
 01/04  12:00:00,203.936604562,36.5661530291,45.030346044,0.0,32.1804615127,65.7244621605,479.592972347,208.35481625,83.4695,187.768656097
 01/04  13:00:00,199.371287491,36.5529809874,41.3145447384,0.0,32.1804615127,65.7244621605,473.135150088,202.225550259,83.4695,187.440099829
 01/04  14:00:00,190.244917875,36.5207915483,42.0103163015,0.0,32.1804615127,55.9779621605,469.839627879,207.543584105,75.1392,187.156843774
 01/04  15:00:00,188.817378573,36.4505969425,40.7798370375,0.0,32.1804615127,55.9779621605,468.857825409,222.134897068,66.8089,179.914028342
 01/04  16:00:00,189.074535608,36.4335365903,41.1267938717,0.0,32.1804615127,55.9779621605,492.361317578,230.372485331,75.1392,186.849632247
 01/04  17:00:00,213.00191046,36.1540339736,36.242318495,0.0,32.1804615127,60.9114621605,455.959500382,225.396115196,91.7998,138.763585186
 01/04  18:00:00,263.457226209,35.9889608506,37.9779282025,0.0,32.1804615127,77.5397301883,507.006131854,242.340581738,49.9818,214.683750116
 01/04  19:00:00,334.943644774,35.9889608506,52.6799907596,0.0,77.122965704,86.2600435998,692.830623694,256.60489345,49.9818,386.243930244
 01/04  20:00:00,348.851425478,35.9889608506,59.0700992089,0.0,102.647051061,80.1663183927,572.113029867,257.025552218,33.3212,281.766277649
 01/04  21:00:00,376.305297617,35.9889608506,61.2535718775,0.0,115.40909374,92.7192997104,572.038083891,257.877619292,33.3212,280.839264599
 01/04  22:00:00,366.376635807,35.9889608506,74.9248146734,0.0,102.647051061,94.1340635361,704.088668858,263.205838738,24.9909,415.89193012
 01/04  23:00:00,286.119542601,35.9889608506,61.2767802247,0.0,77.122965704,65.871452062,607.465429181,273.441132702,16.6606,317.36369648
 01/04  24:00:00,198.291829008,35.9889608506,41.5405917355,0.0,38.286128036,48.4199368926,473.577999944,293.982158115,8.3303,171.265541829
 01/05  01:00:00,146.422061359,31.0208083728,33.7918634046,0.0,25.5240853573,30.610668775,206.950408997,58.6131891591,3.33212,145.005099838
 01/05  02:00:00,134.456241872,31.0208083728,29.1571772388,0.0,19.418418834,29.3649097162,153.190254501,48.254270968,3.33212,101.603863532
 01/05  03:00:00,124.024625945,31.0208083728,26.6339873604,0.0,12.7620426787,28.1191506574,153.567180975,42.2789273793,3.33212,107.956133596
 01/05  04:00:00,122.169450129,31.0208083728,24.7944703873,0.0,12.7620426787,28.1191506574,144.081174353,39.1509947003,3.33212,101.598059652
 01/05  05:00:00,130.421161355,31.0208083728,26.4620171604,0.0,12.7620426787,28.1191506574,182.25383661,37.4943991875,3.33212,141.427317422
 01/05  06:00:00,157.443871829,31.0208083728,25.893407795,0.0,25.5240853573,30.610668775,288.290441277,38.5385459578,8.3303,241.421595319
 01/05  07:00:00,285.624168045,31.0208083728,56.183819779,0.0,51.0481707146,78.1489452969,469.769950776,37.6248248153,16.6606,415.484525961
 01/05  08:00:00,372.915761647,36.0064559321,87.9026416107,0.0,64.3609230253,109.708623606,813.874693528,236.108338259,24.9909,552.775455268
 01/05  09:00:00,291.938679511,35.9889608506,58.1151062726,0.0,51.0481707146,80.7689615957,764.027863663,299.718659853,33.3212,430.98800381
 01/05  10:00:00,243.817685033,35.9889608506,38.293321229,0.0,51.0481707146,71.0224615957,696.843934711,309.15624065,66.8089,320.878794061
 01/05  11:00:00,173.366047634,35.9889608506,16.6768556316,0.0,32.1804615127,65.7244621605,669.39110743,332.085392161,83.4695,253.836215269
 01/05  12:00:00,170.964487851,36.0072028669,13.606661224,0.0,32.1804615127,65.7244621605,609.803564183,336.928600059,83.4695,189.405464124
 01/05  13:00:00,170.1029011,36.0362939983,13.5043837768,0.0,32.1804615127,65.7244621605,600.136838073,334.1151051,83.4695,182.552232973
 01/05  14:00:00,160.546694636,36.050742321,13.6546180203,0.0,32.1804615127,55.9779621605,599.173292778,338.532346805,75.1392,185.501745973
 01/05  15:00:00,161.534359424,36.0876168504,14.6268261389,0.0,32.1804615127,55.9779621605,589.815920763,336.089811389,66.8089,186.917209374
 01/05  16:00:00,162.976204793,36.1178800391,16.070010197,0.0,32.1804615127,55.9779621605,581.952967245,326.832326255,75.1392,179.981440991
 01/05  17:00:00,193.093304194,36.0004879748,17.0672107059,0.0,32.1804615127,60.9114621605,546.926555748,309.696780004,91.7998,145.429975745
 01/05  18:00:00,252.16924071,35.9889608506,27.0828838534,0.0,32.1804615127,77.5397301883,582.585890498,319.405958224,49.9818,213.198132273
 01/05  19:00:00,326.20911868,35.9889608506,44.3141501864,0.0,77.122965704,86.2600435998,756.70593634,325.857790023,49.9818,380.866346317
 01/05  20:00:00,334.445595723,35.9889608506,44.9420015445,0.0,102.647051061,80.1663183927,649.710796489,327.754212164,33.3212,288.635384324
 01/05  21:00:00,365.476168315,35.9889608506,50.6265820362,0.0,115.40909374,92.7192997104,651.16813714,336.870300477,33.3212,280.976636663
 01/05  22:00:00,355.174628166,35.9889608506,63.8838209651,0.0,102.647051061,94.1340635361,782.765266069,341.376056355,24.9909,416.398309714
 01/05  23:00:00,272.678020715,35.9889608506,47.8748819466,0.0,77.122965704,65.871452062,697.074006811,362.79740228,16.6606,317.616004531
 01/05  24:00:00,183.493519658,35.9967849443,26.3080268957,0.335657189069,38.286128036,48.4199368926,574.33103172,394.684627167,8.3303,171.316104553
 01/06  01:00:00,129.527092912,31.0208083728,17.0433724696,0.0,25.5240853573,30.610668775,226.462049159,78.0868034318,3.33212,145.043125727
 01/06  02:00:00,116.080055291,31.0208083728,10.9160956717,0.0,19.418418834,29.3649097162,173.390724646,68.4328811217,3.33212,101.625723524
 01/06  03:00:00,103.787504894,31.0208083728,6.53152897786,0.0,12.7620426787,28.1191506574,175.195705491,63.889563982,3.33212,107.974021509
 01/06  04:00:00,100.289113439,31.0208083728,3.04756805298,0.0,12.7620426787,28.1191506574,167.18907739,62.2460495969,3.33212,101.610907793
 01/06  05:00:00,107.528883696,31.0521047473,2.85895389066,0.189856490795,12.7620426787,28.1191506574,210.411446848,62.0056205405,3.33212,145.073706307
 01/06  06:00:00,143.124616412,31.0521047473,10.5825614064,0.425543314885,25.5240853573,30.610668775,307.726766643,61.9121613952,8.3303,237.484305247
 01/06  07:00:00,268.29369502,31.0521047473,37.7383711549,0.527196979413,51.0481707146,78.1489452969,494.575648478,59.5130113598,16.6606,418.402037119
 01/06  08:00:00,347.347341194,35.9900040631,61.3799674042,0.0,64.3609230253,109.708623606,987.978820938,407.630993753,24.9909,555.356927185
 01/06  09:00:00,283.304034032,35.994176913,48.5958297981,0.0,51.0481707146,80.7689615957,918.648529677,457.50486128,33.3212,427.822468398
 01/06  10:00:00,258.590691536,36.0046090379,52.8106274664,0.0605448233172,51.0481707146,71.0224615957,803.9224256,416.00364981,66.8089,321.10987579
 01/06  11:00:00,211.266653056,35.9967849443,54.1366381238,0.180175978165,32.1804615127,65.7244621605,722.624792796,383.146154601,83.4695,256.009138195
 01/06  12:00:00,215.705227662,35.9967849443,57.8013783403,0.349494552715,32.1804615127,65.7244621605,627.467296773,356.079106288,83.4695,187.918690486
 01/06  13:00:00,216.660402074,35.9889608506,59.9396154794,0.0,32.1804615127,65.7244621605,610.46134159,339.381214735,83.4695,187.610626855
 01/06  14:00:00,202.219498562,35.9972943499,55.2698723378,0.0,32.1804615127,55.9779621605,593.344416085,331.196768406,75.1392,187.008447679
 01/06  15:00:00,208.428099686,36.0424228739,61.4603160111,0.0,32.1804615127,55.9779621605,565.085103197,317.956900771,66.8089,180.319302426
 01/06  16:00:00,203.317906658,36.0499748356,56.3682109406,0.0,32.1804615127,55.9779621605,575.664498807,313.542351531,75.1392,186.982947276
 01/06  17:00:00,217.966300669,35.9889608506,41.8664658126,0.0,32.1804615127,60.9114621605,539.9789882,309.33961224,91.7998,138.83957596
 01/06  18:00:00,269.234369821,35.9889608506,44.0488609166,0.0,32.1804615127,77.5397301883,603.099455062,338.229550964,49.9818,214.888104099
 01/06  19:00:00,341.758475293,35.9889608506,59.7140624321,0.0,77.122965704,86.2600435998,802.772835311,365.752314917,49.9818,387.038720394
 01/06  20:00:00,347.168980409,35.9915688818,57.775359639,0.146829992922,102.647051061,80.1663183927,689.119554952,373.581800517,33.3212,282.216554434
 01/06  21:00:00,379.539475625,36.0098251003,63.8107954515,1.08663781374,115.40909374,92.7192997104,694.316437085,375.850935057,33.3212,285.144302028
 01/06  22:00:00,367.834573356,36.0046090379,76.0017310307,0.616385256535,102.647051061,94.1340635361,834.696827932,388.00195589,24.9909,421.703972042
 01/06  23:00:00,281.017906258,35.9993929755,55.8754902946,0.147290576261,77.122965704,65.871452062,737.120974453,410.77325618,16.6606,309.687118274
 01/06  24:00:00,189.344501887,36.0046090379,32.3522064864,0.0128187425578,38.286128036,48.4199368926,616.67541874,430.098392191,8.3303,178.24672655
 01/07  01:00:00,138.705836038,31.0521047473,23.3321377153,0.659054820136,27.7269238854,30.610668775,219.969526353,78.1546954593,3.33212,138.482710894
 01/07  02:00:00,133.348302201,31.0521047473,17.8594447828,0.721907813337,27.7269238854,30.610668775,178.720978203,67.3971514547,3.33212,107.991706749
 01/07  03:00:00,112.935158183,31.0521047473,14.7765881953,0.868092872518,12.7620426787,28.1191506574,166.570702088,61.5248971933,3.33212,101.713684895
 01/07  04:00:00,111.641446312,31.0521047473,13.3460506312,1.0134848714,12.7620426787,28.1191506574,169.612208613,58.3556297282,3.33212,107.924458884
 01/07  05:00:00,118.606760309,31.0521047473,13.5627214065,1.18650294569,12.7620426787,28.1191506574,199.074487884,57.2441975833,3.33212,138.498170301
 01/07  06:00:00,133.04321343,31.0521047473,15.6450734001,1.29781825864,12.7620426787,28.1191506574,243.556606972,56.9172911598,8.3303,178.309015813
 01/07  07:00:00,224.750615474,31.0521047473,26.6405662239,1.20136821885,42.6918050922,54.3732441037,318.256154522,55.2878199067,16.6606,246.307734616
 01/07  08:00:00,291.082622976,35.997800364,51.7571345928,0.0,42.6918050922,86.1019271793,788.881163951,347.433128552,24.9909,416.4571354
 01/07  09:00:00,364.122936244,35.9993929755,92.268134064,0.0,57.6566862989,112.030105488,980.569593346,349.96567395,33.3212,597.282719395
 01/07  10:00:00,338.24374655,36.0310204236,113.272986427,0.0159448985733,57.6566862989,83.6599452969,778.364931313,287.384816144,66.8089,424.171215169
 01/07  11:00:00,314.264381181,36.2043519233,142.563486953,0.562499460538,42.6918050922,68.9656133826,662.880719026,258.073169905,83.4695,321.338049121
 01/07  12:00:00,249.781224849,36.2326730233,86.8260884306,0.138068793149,34.9340096728,67.7198543238,598.762180727,258.239919102,83.4695,257.052761625
 01/07  13:00:00,220.943394643,36.272324136,58.8259662437,0.122744796682,34.9340096728,67.7198543238,545.35374089,266.625699799,83.4695,195.258541091
 01/07  14:00:00,198.985173669,36.3208779562,46.3880068507,0.238314571059,34.9340096728,57.9733543238,528.48832055,265.401758928,75.1392,187.947361622
 01/07  15:00:00,190.473928415,36.335351789,37.9995450867,0.108214866985,34.9340096728,57.9733543238,523.105765866,268.65347267,66.8089,187.643393196
 01/07  16:00:00,186.323568726,36.3479783113,33.9115107145,0.0486413290454,34.9340096728,57.9733543238,534.552794768,271.781203357,75.1392,187.632391411
 01/07  17:00:00,212.447449757,36.1714518008,30.7604787694,0.261732851048,34.9340096728,62.9068543238,501.010916933,270.103825203,91.7998,139.10729173
 01/07  18:00:00,255.374598076,36.0056522504,32.2448403944,0.231187298439,34.9340096728,72.2186844194,495.613272988,264.222689141,49.9818,181.408783848
 01/07  19:00:00,335.029208081,35.994176913,42.8701826818,0.108963314489,87.0357390804,86.2600435998,517.424687297,246.578512465,49.9818,220.864374833
 01/07  20:00:00,340.95479653,35.9889608506,54.2016982451,0.0,102.000620287,77.6748002752,553.134121267,237.961567022,33.3212,281.851354245
 01/07  21:00:00,363.114477084,35.9889608506,65.0730588181,0.0,102.000620287,88.9820225341,550.780640797,235.531520811,33.3212,281.927919986
 01/07  22:00:00,358.51649725,35.9889608506,70.194367397,0.0,102.000620287,91.6425454185,545.553382726,231.337140643,24.9909,289.225342083
 01/07  23:00:00,306.084738504,35.994176913,70.814369434,0.116035363951,87.0357390804,65.871452062,666.391888418,235.101522413,16.6606,414.629766005
 01/07  24:00:00,221.432652602,36.0150411627,59.3545103163,0.478364150903,42.6918050922,48.4199368926,501.794870468,247.999651985,8.3303,245.464918484
 01/08  01:00:00,135.467234833,31.0208083728,11.469475602,0.0,34.4311606118,33.1021868926,195.89566536,53.8196714643,3.33212,138.743873895
 01/08  02:00:00,136.885049911,31.0208083728,12.8376140695,0.0,34.4311606118,33.1021868926,156.507251325,45.0013531243,3.33212,108.173778201
 01/08  03:00:00,120.467974903,31.0208083728,13.8762164711,0.0,19.466279405,30.610668775,150.981548144,39.4753414155,3.33212,108.174086729
 01/08  04:00:00,121.59020651,31.0208083728,14.9972475932,0.0,19.466279405,30.610668775,147.488031379,35.982336956,3.33212,108.173574423
 01/08  05:00:00,130.388383259,31.0208083728,17.2267995184,0.0,19.466279405,30.610668775,176.116321688,34.2336735177,3.33212,138.55052817
 01/08  06:00:00,145.434191749,31.0208083728,20.0303933113,0.0,19.466279405,30.610668775,220.662266183,33.6766661914,8.3303,178.655299992
 01/08  07:00:00,240.681435169,31.8488337858,42.3886545393,0.0,42.6918050922,54.3732441037,296.715937206,32.7582598103,16.6606,247.297077396
 01/08  08:00:00,335.044843528,35.9889608506,86.0814289325,0.0,49.3960418185,88.5934452969,625.677431903,182.094185334,24.9909,418.592346569
 01/08  09:00:00,358.776176853,35.9889608506,86.3743175258,0.0,57.6566862989,112.030105488,833.601532174,200.851888807,33.3212,599.428443366
 01/08  10:00:00,299.576847901,36.3769138024,82.8335660455,0.0,50.9524495726,81.1684271793,684.506637747,194.389483592,66.8089,423.308254156
 01/08  11:00:00,234.495975161,36.4576082157,62.6799568457,0.0,42.6918050922,68.9656133826,616.17871759,203.869255031,83.4695,328.839962558
 01/08  12:00:00,216.98009723,36.4970701941,48.8744500063,0.0,38.286128036,68.9656133826,558.184356832,216.021148686,83.4695,258.693708146
 01/08  13:00:00,210.426035693,36.5892533336,43.0083654771,0.0,38.286128036,68.9656133826,487.222956679,216.042520242,83.4695,187.710936437
 01/08  14:00:00,186.503100742,36.5964191129,38.0385995283,0.0,31.5818913096,56.727595265,484.155464867,221.320488848,75.1392,187.695776018
 01/08  15:00:00,184.062989006,36.5739508743,35.681359198,0.0,31.5818913096,56.727595265,481.617515412,234.635974407,66.8089,180.172641006
 01/08  16:00:00,183.14024845,36.5939774314,34.7507825201,0.0,31.5818913096,56.727595265,501.98858387,239.745817404,75.1392,187.103566466
 01/08  17:00:00,211.589688265,36.3469801605,34.210212364,0.0,31.5818913096,61.661095265,469.460464094,232.541368858,91.7998,145.119295235
 01/08  18:00:00,254.412255568,35.9889608506,35.8252271086,0.0,31.5818913096,70.9729253606,456.786118553,227.146066128,49.9818,179.658252426
 01/08  19:00:00,329.309011199,35.9889608506,46.2192712171,0.0,80.3315023541,83.7685254822,488.086049408,222.36882449,49.9818,215.735424918
 01/08  20:00:00,345.237719951,35.9889608506,58.2197244687,0.0,102.000620287,77.6748002752,525.438348179,210.569123274,33.3212,281.548024906
 01/08  21:00:00,373.380853061,35.9889608506,65.9087264598,0.0,108.704857014,91.4735406516,521.079209427,207.166710765,33.3212,280.591298662
 01/08  22:00:00,354.266437912,35.9889608506,74.930202227,0.0,95.2963835608,89.1510273009,520.59889491,208.676410086,24.9909,286.931584824
 01/08  23:00:00,305.096481487,35.9889608506,78.8038003771,0.0,80.3315023541,63.3799339444,646.802978344,212.633458073,16.6606,417.508920272
